date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:30:39	24666/24666	---M--	200	added ('OK')	image/jpeg	etag:%2212ee277a685d3ab7dd32b66ed818cbb2%22	https://d29u17ylf1ylz9.cloudfront.net/p2/img/voopo/service.jpg	D:/Dulla's%20Documents/WEB/Voppo/d29u17ylf1ylz9.cloudfront.net/p2/img/voopo/service.jpg	(from https://d29u17ylf1ylz9.cloudfront.net/voopo-v1-tf.html)
00:30:39	28576/28576	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Jul%202018%2009:48:54%20GMT	https://d29u17ylf1ylz9.cloudfront.net/voopo-v1/blog.html	D:/Dulla's%20Documents/WEB/Voppo/d29u17ylf1ylz9.cloudfront.net/voopo-v1/blog.html	(from https://d29u17ylf1ylz9.cloudfront.net/voopo-v1-tf.html)
00:30:39	30836/30836	---M--	200	added ('OK')	image/jpeg	etag:%22963b0e392720f320cff78c3455c398ba%22	https://d29u17ylf1ylz9.cloudfront.net/p2/img/voopo/blog.jpg	D:/Dulla's%20Documents/WEB/Voppo/d29u17ylf1ylz9.cloudfront.net/p2/img/voopo/blog.jpg	(from https://d29u17ylf1ylz9.cloudfront.net/voopo-v1-tf.html)
00:30:40	26983/26983	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Jul%202018%2009:48:53%20GMT	https://d29u17ylf1ylz9.cloudfront.net/voopo-v1/blog-details.html	D:/Dulla's%20Documents/WEB/Voppo/d29u17ylf1ylz9.cloudfront.net/voopo-v1/blog-details.html	(from https://d29u17ylf1ylz9.cloudfront.net/voopo-v1-tf.html)
00:30:40	28192/28192	---M--	200	added ('OK')	image/jpeg	etag:%222921673c47d7152cc74b1bece8ef86a6%22	https://d29u17ylf1ylz9.cloudfront.net/p2/img/voopo/blog-details.jpg	D:/Dulla's%20Documents/WEB/Voppo/d29u17ylf1ylz9.cloudfront.net/p2/img/voopo/blog-details.jpg	(from https://d29u17ylf1ylz9.cloudfront.net/voopo-v1-tf.html)
00:30:40	16626/16626	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Jul%202018%2009:48:54%20GMT	https://d29u17ylf1ylz9.cloudfront.net/voopo-v1/cart.html	D:/Dulla's%20Documents/WEB/Voppo/d29u17ylf1ylz9.cloudfront.net/voopo-v1/cart.html	(from https://d29u17ylf1ylz9.cloudfront.net/voopo-v1-tf.html)
00:30:41	17346/17346	---M--	200	added ('OK')	image/jpeg	etag:%22fc2f8d7a1a700e8330e0d48443c80461%22	https://d29u17ylf1ylz9.cloudfront.net/p2/img/voopo/cart.jpg	D:/Dulla's%20Documents/WEB/Voppo/d29u17ylf1ylz9.cloudfront.net/p2/img/voopo/cart.jpg	(from https://d29u17ylf1ylz9.cloudfront.net/voopo-v1-tf.html)
00:30:41	34659/34659	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Jul%202018%2009:48:54%20GMT	https://d29u17ylf1ylz9.cloudfront.net/voopo-v1/checkout.html	D:/Dulla's%20Documents/WEB/Voppo/d29u17ylf1ylz9.cloudfront.net/voopo-v1/checkout.html	(from https://d29u17ylf1ylz9.cloudfront.net/voopo-v1-tf.html)
00:30:41	19027/19027	---M--	200	added ('OK')	image/jpeg	etag:%228c48c5af7c8ee18a7fd8906b3bc18696%22	https://d29u17ylf1ylz9.cloudfront.net/p2/img/voopo/checkout.jpg	D:/Dulla's%20Documents/WEB/Voppo/d29u17ylf1ylz9.cloudfront.net/p2/img/voopo/checkout.jpg	(from https://d29u17ylf1ylz9.cloudfront.net/voopo-v1-tf.html)
00:30:41	17868/17868	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Jul%202018%2009:48:55%20GMT	https://d29u17ylf1ylz9.cloudfront.net/voopo-v1/contact.html	D:/Dulla's%20Documents/WEB/Voppo/d29u17ylf1ylz9.cloudfront.net/voopo-v1/contact.html	(from https://d29u17ylf1ylz9.cloudfront.net/voopo-v1-tf.html)
00:30:42	23940/23940	---M--	200	added ('OK')	image/jpeg	etag:%2279660cc637e1ae08f7a5d8d3c53f7ec5%22	https://d29u17ylf1ylz9.cloudfront.net/p2/img/voopo/contact.jpg	D:/Dulla's%20Documents/WEB/Voppo/d29u17ylf1ylz9.cloudfront.net/p2/img/voopo/contact.jpg	(from https://d29u17ylf1ylz9.cloudfront.net/voopo-v1-tf.html)
00:30:45	70337/70337	---M--	200	added ('OK')	image/jpeg	etag:%222b9fb64d086a36f7205d483f92844a1e%22	https://s3.envato.com/files/231676880/preview.__large_preview.jpg	D:/Dulla's%20Documents/WEB/Voppo/s3.envato.com/files/231676880/preview.__large_preview.jpg	(from https://d29u17ylf1ylz9.cloudfront.net/voopo-v1-tf.html)
00:30:48	71973/71973	---M--	200	added ('OK')	image/jpeg	etag:%226d0f21d0b68d49613d3fe38f109955c1%22	https://s3.envato.com/files/235648322/preview.__large_preview.jpg	D:/Dulla's%20Documents/WEB/Voppo/s3.envato.com/files/235648322/preview.__large_preview.jpg	(from https://d29u17ylf1ylz9.cloudfront.net/voopo-v1-tf.html)
00:30:49	81525/81525	---M--	200	added ('OK')	image/jpeg	etag:%2214773c787f5707b4974993a415092a1a%22	https://s3.envato.com/files/235318420/preview.__large_preview.jpg	D:/Dulla's%20Documents/WEB/Voppo/s3.envato.com/files/235318420/preview.__large_preview.jpg	(from https://d29u17ylf1ylz9.cloudfront.net/voopo-v1-tf.html)
00:30:55	118342/118342	---M--	200	added ('OK')	image/png	etag:%2268d6433d4ebe183416da80c8448e3626%22	https://s3.envato.com/files/238844904/preview.__large_preview.png	D:/Dulla's%20Documents/WEB/Voppo/s3.envato.com/files/238844904/preview.__large_preview.png	(from https://d29u17ylf1ylz9.cloudfront.net/voopo-v1-tf.html)
00:30:56	94151/94151	---M--	200	added ('OK')	image/png	etag:%2257f879d432380c05bec6306fafabad05%22	https://s3.envato.com/files/236854570/preview.__large_preview.png	D:/Dulla's%20Documents/WEB/Voppo/s3.envato.com/files/236854570/preview.__large_preview.png	(from https://d29u17ylf1ylz9.cloudfront.net/voopo-v1-tf.html)
00:30:56	106841/106841	---M--	200	added ('OK')	image/png	etag:%22c0cf2f91516678d8b3e1daaeecbfd7cb%22	https://s3.envato.com/files/237139625/Preview.__large_preview.png	D:/Dulla's%20Documents/WEB/Voppo/s3.envato.com/files/237139625/Preview.__large_preview.png	(from https://d29u17ylf1ylz9.cloudfront.net/voopo-v1-tf.html)
00:30:57	86709/86709	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2012%20Feb%202018%2006:48:05%20GMT	https://d29u17ylf1ylz9.cloudfront.net/p2/js/vendor/jquery-3.1.1.min.js	D:/Dulla's%20Documents/WEB/Voppo/d29u17ylf1ylz9.cloudfront.net/p2/js/vendor/jquery-3.1.1.min.js	(from https://d29u17ylf1ylz9.cloudfront.net/voopo-v1-tf.html)
00:30:58	37045/37045	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2012%20Feb%202018%2006:46:50%20GMT	https://d29u17ylf1ylz9.cloudfront.net/p2/js/bootstrap.min.js	D:/Dulla's%20Documents/WEB/Voppo/d29u17ylf1ylz9.cloudfront.net/p2/js/bootstrap.min.js	(from https://d29u17ylf1ylz9.cloudfront.net/voopo-v1-tf.html)
00:30:59	127936/127936	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2012%20Feb%202018%2006:46:52%20GMT	https://d29u17ylf1ylz9.cloudfront.net/p2/js/plugins.js	D:/Dulla's%20Documents/WEB/Voppo/d29u17ylf1ylz9.cloudfront.net/p2/js/plugins.js	(from https://d29u17ylf1ylz9.cloudfront.net/voopo-v1-tf.html)
00:31:00	1201/1201	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2016%20May%202018%2007:38:05%20GMT	https://d29u17ylf1ylz9.cloudfront.net/p2/js/ajax-mail.js	D:/Dulla's%20Documents/WEB/Voppo/d29u17ylf1ylz9.cloudfront.net/p2/js/ajax-mail.js	(from https://d29u17ylf1ylz9.cloudfront.net/voopo-v1-tf.html)
00:31:00	836/836	---M--	200	added ('OK')	application/javascript	etag:%22ae602901c6bb2077acf0a4a2c3c77672%22	https://d29u17ylf1ylz9.cloudfront.net/p2/js/main.js	D:/Dulla's%20Documents/WEB/Voppo/d29u17ylf1ylz9.cloudfront.net/p2/js/main.js	(from https://d29u17ylf1ylz9.cloudfront.net/voopo-v1-tf.html)
00:31:01	243/243	---MC-	403	error ('Forbidden')	application/xml	date:Sat,%2021%20Jul%202018%2019:31:01%20GMT	https://d29u17ylf1ylz9.cloudfront.net/p2/fonts/glyphicons-halflings-regular.eot	D:/Dulla's%20Documents/WEB/Voppo/d29u17ylf1ylz9.cloudfront.net/p2/fonts/glyphicons-halflings-regular.eot	(from https://d29u17ylf1ylz9.cloudfront.net/p2/css/bootstrap.min.css)
00:31:02	243/243	---MC-	403	error ('Forbidden')	application/xml	date:Sat,%2021%20Jul%202018%2019:31:01%20GMT	https://d29u17ylf1ylz9.cloudfront.net/p2/fonts/glyphicons-halflings-regular.eot?	D:/Dulla's%20Documents/WEB/Voppo/d29u17ylf1ylz9.cloudfront.net/p2/fonts/glyphicons-halflings-regulard41d.eot	(from https://d29u17ylf1ylz9.cloudfront.net/p2/css/bootstrap.min.css)
00:31:03	243/243	---MC-	403	error ('Forbidden')	application/xml	date:Sat,%2021%20Jul%202018%2019:31:03%20GMT	https://d29u17ylf1ylz9.cloudfront.net/p2/fonts/glyphicons-halflings-regular.woff2	D:/Dulla's%20Documents/WEB/Voppo/d29u17ylf1ylz9.cloudfront.net/p2/fonts/glyphicons-halflings-regular.woff2	(from https://d29u17ylf1ylz9.cloudfront.net/p2/css/bootstrap.min.css)
00:31:04	243/243	---MC-	403	error ('Forbidden')	application/xml	date:Sat,%2021%20Jul%202018%2019:31:03%20GMT	https://d29u17ylf1ylz9.cloudfront.net/p2/fonts/glyphicons-halflings-regular.woff	D:/Dulla's%20Documents/WEB/Voppo/d29u17ylf1ylz9.cloudfront.net/p2/fonts/glyphicons-halflings-regular.woff	(from https://d29u17ylf1ylz9.cloudfront.net/p2/css/bootstrap.min.css)
